Build ID,Test Method,Flaky or Not,Detection Method,Number of Test Smells,Flaky Frequency,Size,Path
594548163,test_issue2901,flaky,Traceback Coverage,0,0.40,7,spaCy/spacy/tests/regression/test_issue2501-3000.py
594548163,test_issue3002,flaky,Traceback Coverage,0,0.25,6,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3199,flaky,Traceback Coverage,0,0.25,7,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3209,flaky,Traceback Coverage,0,0.22,15,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3248_1,flaky,Traceback Coverage,0,0.25,7,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3248_2,flaky,Traceback Coverage,0,0.40,8,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3289,flaky,Traceback Coverage,0,0.30,8,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3345,flaky,Traceback Coverage,0,0.50,81,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3410,flaky,Traceback Coverage,0,0.25,12,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3456,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3468,flaky,Traceback Coverage,0,0.25,13,spaCy/spacy/tests/regression/test_issue3001-3500.py
594548163,test_issue3531,flaky,Traceback Coverage,0,0.25,26,spaCy/spacy/tests/regression/test_issue3531.py
594548163,test_issue3611,flaky,Traceback Coverage,1,0.40,37,spaCy/spacy/tests/regression/test_issue3611.py
594548163,test_issue3625,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/regression/test_issue3625.py
594548163,test_issue3803,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/regression/test_issue3803.py
594548163,test_issue3869,flaky,Traceback Coverage,0,0.25,7,spaCy/spacy/tests/regression/test_issue3869.py
594548163,test_issue3880,flaky,Traceback Coverage,0,0.25,14,spaCy/spacy/tests/regression/test_issue3880.py
594548163,test_issue3959,flaky,Traceback Coverage,0,0.25,16,spaCy/spacy/tests/regression/test_issue3959.py
594548163,test_issue4030,flaky,Traceback Coverage,1,0.33,41,spaCy/spacy/tests/regression/test_issue4030.py
594548163,test_issue4042,flaky,Traceback Coverage,0,0.50,25,spaCy/spacy/tests/regression/test_issue4042.py
594548163,test_issue4042_bug2,flaky,Traceback Coverage,0,0.25,31,spaCy/spacy/tests/regression/test_issue4042.py
594548163,test_issue4190,flaky,Traceback Coverage,0,0.22,17,spaCy/spacy/tests/regression/test_issue4190.py
594548163,test_issue4267,flaky,Traceback Coverage,0,0.25,24,spaCy/spacy/tests/regression/test_issue4267.py
594548163,test_issue4272,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/regression/test_issue4272.py
594548163,test_issue4313,flaky,Traceback Coverage,0,0.25,24,spaCy/spacy/tests/regression/test_issue4313.py
594548163,test_issue4348,flaky,Traceback Coverage,1,0.25,12,spaCy/spacy/tests/regression/test_issue4348.py
594548163,test_serialize_doc_bin,flaky,Traceback Coverage,0,0.33,10,spaCy/spacy/tests/serialize/test_serialize_doc.py
594548163,test_serialize_language_meta_disk,flaky,Traceback Coverage,0,0.43,5,spaCy/spacy/tests/serialize/test_serialize_language.py
594548163,test_serialize_with_custom_tokenizer,flaky,Traceback Coverage,0,0.25,18,spaCy/spacy/tests/serialize/test_serialize_language.py
594548163,test_serialize_language_exclude,flaky,Traceback Coverage,0,0.40,13,spaCy/spacy/tests/serialize/test_serialize_language.py
594548163,test_tokenizer_add_special_case_tag,flaky,Traceback Coverage,0,0.25,8,spaCy/spacy/tests/tokenizer/test_tokenizer.py
591480430,test_tokenizer_special_cases_with_affixes,flaky,Traceback Coverage,0,0.25,0,spaCy/spacy/tests/tokenizer/test_tokenizer.py
588959706,test_ruler_before_ner,flaky,Traceback Coverage,0,0.25,17,spaCy/spacy/tests/parser/test_ner.py
588959706,test_ner_before_ruler,flaky,Traceback Coverage,0,0.25,17,spaCy/spacy/tests/parser/test_ner.py
588959706,test_entity_ruler_entity_id,flaky,Traceback Coverage,0,0.40,6,spaCy/spacy/tests/pipeline/test_entity_ruler.py
588959706,test_entity_ruler_cfg_ent_id_sep,flaky,Traceback Coverage,0,0.25,7,spaCy/spacy/tests/pipeline/test_entity_ruler.py
588933151,test_preserving_links_asdoc,flaky,Traceback Coverage,0,0.50,34,spaCy/spacy/tests/pipeline/test_entity_linker.py
588933151,test_issue3345,flaky,Traceback Coverage,0,0.40,81,spaCy/spacy/tests/regression/test_issue3001-3500.py
587536678,test_tokenizer_validate_special_case,flaky,Traceback Coverage,0,0.25,0,spaCy/spacy/tests/tokenizer/test_tokenizer.py
586711455,test_doc_add_entities_set_ents_iob,flaky,Traceback Coverage,0,0.23,10,spaCy/spacy/tests/parser/test_ner.py
586706422,test_doc_add_entities_set_ents_iob,flaky,Traceback Coverage,0,0.25,10,spaCy/spacy/tests/parser/test_ner.py
579648420,test_issue1547,flaky,Traceback Coverage,0,0.33,7,spaCy/spacy/tests/regression/test_issue1501-2000.py
576529032,test_displacy_parse_deps,flaky,Traceback Coverage,0,0.33,20,spaCy/spacy/tests/test_displacy.py
576529032,test_issue3009,flaky,Traceback Coverage,0,0.38,26,spaCy/spacy/tests/regression/test_issue3001-3500.py
576528875,test_displacy_parse_deps,flaky,Traceback Coverage,0,0.27,20,spaCy/spacy/tests/test_displacy.py
576528875,test_issue3009,flaky,Traceback Coverage,0,0.33,26,spaCy/spacy/tests/regression/test_issue3001-3500.py
576430627,test_displacy_parse_deps,flaky,Traceback Coverage,0,0.38,20,spaCy/spacy/tests/test_displacy.py
576430627,test_issue3009,flaky,Traceback Coverage,0,0.42,26,spaCy/spacy/tests/regression/test_issue3001-3500.py
574844217,test_displacy_parse_deps,flaky,Traceback Coverage,0,0.33,20,spaCy/spacy/tests/test_displacy.py
574844217,test_doc_retokenize_spans_entity_merge,flaky,Traceback Coverage,0,0.25,18,spaCy/spacy/tests/doc/test_retokenize_merge.py
574844217,test_issue3009,flaky,Traceback Coverage,0,0.40,26,spaCy/spacy/tests/regression/test_issue3001-3500.py
557913789,test_vocab_api_symbols,flaky,Traceback Coverage,0,0.25,1,spaCy/spacy/tests/vocab_vectors/test_vocab_api.py
557248081,test_lt_tokenizer_handles_long_text,flaky,Traceback Coverage,0,0.20,3,spaCy/spacy/tests/lang/lt/test_text.py
531253417,test_doc_to_json_underscore_error_serialize,flaky,Traceback Coverage,0,0.14,5,spaCy/spacy/tests/doc/test_to_json.py
531253417,test_token_underscore_method,flaky,Traceback Coverage,0,0.14,4,spaCy/spacy/tests/doc/test_underscore.py
531253417,test_serialize_ext_attrs_from_bytes,flaky,Traceback Coverage,0,0.14,6,spaCy/spacy/tests/serialize/test_serialize_extension_attrs.py
529992511,test_lemmatizer_lookup_assigns,flaky,Traceback Coverage,0,0.40,0,spaCy/spacy/tests/lang/pl/test_lemma.py
510280237,test_add_label,flaky,Traceback Coverage,1,0.17,14,spaCy/spacy/tests/parser/test_add_label.py
509425029,test_issue3009,flaky,Traceback Coverage,0,0.33,0,spaCy/spacy/tests/regression/test_issue3009.py
506782029,test_lang_initialize,flaky,Traceback Coverage,0,0.33,6,spaCy/spacy/tests/lang/test_initialize.py
504737468,test_token_api_conjuncts_chain,flaky,Traceback Coverage,0,0.20,7,spaCy/spacy/tests/doc/test_token_api.py
504737468,test_token_api_conjuncts_simple,flaky,Traceback Coverage,0,0.20,6,spaCy/spacy/tests/doc/test_token_api.py
504737468,test_token_api_non_conjuncts,flaky,Traceback Coverage,0,0.20,6,spaCy/spacy/tests/doc/test_token_api.py
504446491,test_en_parser_noun_chunks_dative,flaky,Traceback Coverage,0,0.25,13,spaCy/spacy/tests/lang/en/test_parser.py
504372910,test_issue1915,flaky,Traceback Coverage,0,0.25,6,spaCy/spacy/tests/regression/test_issue1501-2000.py
504372910,test_issue2179,flaky,Traceback Coverage,0,0.14,11,spaCy/spacy/tests/regression/test_issue2001-2500.py
504372910,test_issue2800,flaky,Traceback Coverage,2,0.17,17,spaCy/spacy/tests/regression/test_issue2501-3000.py
504372910,test_issue3209,flaky,Traceback Coverage,0,0.17,15,spaCy/spacy/tests/regression/test_issue3209.py
504371102,test_issue1915,flaky,Traceback Coverage,0,0.29,6,spaCy/spacy/tests/regression/test_issue1501-2000.py
504371102,test_issue2179,flaky,Traceback Coverage,0,0.15,11,spaCy/spacy/tests/regression/test_issue2001-2500.py
504371102,test_issue2800,flaky,Traceback Coverage,2,0.20,17,spaCy/spacy/tests/regression/test_issue2501-3000.py
504371102,test_issue3209,flaky,Traceback Coverage,0,0.20,15,spaCy/spacy/tests/regression/test_issue3209.py
504315678,test_doc_array_to_from_string_attrs,flaky,Traceback Coverage,0,0.25,6,spaCy/spacy/tests/doc/test_array.py
503042456,test_roundtrip_offsets_biluo_conversion,flaky,Traceback Coverage,0,0.20,8,spaCy/spacy/tests/test_gold.py
503042456,test_biluo_spans,flaky,Traceback Coverage,0,0.20,8,spaCy/spacy/tests/test_gold.py
503042456,test_displacy_parse_ents,flaky,Traceback Coverage,0,0.20,7,spaCy/spacy/tests/test_misc.py
503042456,test_displacy_parse_deps,flaky,Traceback Coverage,0,0.20,20,spaCy/spacy/tests/test_misc.py
503042456,test_displacy_spans,flaky,Traceback Coverage,0,0.20,5,spaCy/spacy/tests/test_misc.py
503042456,test_displacy_render_wrapper,flaky,Traceback Coverage,0,0.20,9,spaCy/spacy/tests/test_misc.py
503042456,test_doc_api_set_ents,flaky,Traceback Coverage,0,0.20,9,spaCy/spacy/tests/doc/test_doc_api.py
503042456,test_doc_retokenize_retokenizer_attrs,flaky,Traceback Coverage,0,0.20,9,spaCy/spacy/tests/doc/test_retokenize_merge.py
503042456,test_doc_retokenize_spans_merge_tokens,flaky,Traceback Coverage,0,0.20,14,spaCy/spacy/tests/doc/test_retokenize_merge.py
503042456,test_doc_retokenize_spans_entity_merge,flaky,Traceback Coverage,0,0.20,18,spaCy/spacy/tests/doc/test_retokenize_merge.py
503042456,test_spans_by_character,flaky,Traceback Coverage,0,0.20,5,spaCy/spacy/tests/doc/test_span.py
503042456,test_span_ents_property,flaky,Traceback Coverage,0,0.20,26,spaCy/spacy/tests/doc/test_span.py
503042456,test_da_tokenizer_handles_posessives_and_contractions,flaky,Traceback Coverage,0,0.20,29,spaCy/spacy/tests/lang/da/test_prefix_suffix_infix.py
503042456,test_matcher_phrase_matcher,flaky,Traceback Coverage,0,0.29,5,spaCy/spacy/tests/matcher/test_phrase_matcher.py
503042456,test_phrase_matcher_string_attrs,flaky,Traceback Coverage,0,0.29,14,spaCy/spacy/tests/matcher/test_phrase_matcher.py
503042456,test_phrase_matcher_string_attrs_negative,flaky,Traceback Coverage,0,0.29,11,spaCy/spacy/tests/matcher/test_phrase_matcher.py
503042456,test_phrase_matcher_bool_attrs,flaky,Traceback Coverage,0,0.29,16,spaCy/spacy/tests/matcher/test_phrase_matcher.py
503042456,test_phrase_matcher_validation,flaky,Traceback Coverage,0,0.20,17,spaCy/spacy/tests/matcher/test_phrase_matcher.py
503042456,test_get_oracle_moves,flaky,Traceback Coverage,0,0.20,5,spaCy/spacy/tests/parser/test_ner.py
503042456,test_get_oracle_moves_negative_entities,flaky,Traceback Coverage,0,0.20,9,spaCy/spacy/tests/parser/test_ner.py
503042456,test_get_oracle_moves_negative_entities2,flaky,Traceback Coverage,0,0.20,7,spaCy/spacy/tests/parser/test_ner.py
503042456,test_get_oracle_moves_negative_O,flaky,Traceback Coverage,0,0.20,7,spaCy/spacy/tests/parser/test_ner.py
503042456,test_beam_parse,flaky,Traceback Coverage,0,0.27,6,spaCy/spacy/tests/parser/test_nn_beam.py
503042456,test_parser_pseudoprojectivity,flaky,Traceback Coverage,0,0.20,63,spaCy/spacy/tests/parser/test_nonproj.py
503042456,test_entity_ruler_init,flaky,Traceback Coverage,0,0.29,10,spaCy/spacy/tests/pipeline/test_entity_ruler.py
503042456,test_entity_ruler_existing,flaky,Traceback Coverage,0,0.29,7,spaCy/spacy/tests/pipeline/test_entity_ruler.py
503042456,test_entity_ruler_existing_overwrite,flaky,Traceback Coverage,0,0.29,8,spaCy/spacy/tests/pipeline/test_entity_ruler.py
503042456,test_entity_ruler_existing_complex,flaky,Traceback Coverage,0,0.29,9,spaCy/spacy/tests/pipeline/test_entity_ruler.py
503042456,test_issue118,flaky,Traceback Coverage,0,0.29,17,spaCy/spacy/tests/regression/test_issue1-1000.py
503042456,test_issue118_prefix_reorder,flaky,Traceback Coverage,0,0.29,17,spaCy/spacy/tests/regression/test_issue1-1000.py
503042456,test_issue1547,flaky,Traceback Coverage,0,0.20,7,spaCy/spacy/tests/regression/test_issue1501-2000.py
503042456,test_issue2569,flaky,Traceback Coverage,0,0.29,10,spaCy/spacy/tests/regression/test_issue2501-3000.py
503042456,test_issue2871,flaky,Traceback Coverage,0,0.20,16,spaCy/spacy/tests/regression/test_issue2501-3000.py
503042456,test_issue3012,flaky,Traceback Coverage,0,0.20,18,spaCy/spacy/tests/regression/test_issue3012.py
503042456,test_issue3288,flaky,Traceback Coverage,0,0.20,8,spaCy/spacy/tests/regression/test_issue3288.py
503042456,test_vocab_lexeme_lt,flaky,Traceback Coverage,0,0.20,7,spaCy/spacy/tests/vocab_vectors/test_lexeme.py
502856158,test_issue3009,flaky,Traceback Coverage,0,0.29,4,spaCy/spacy/tests/regression/test_issue3009.py
493790615,test_spans_sentence_update_after_merge,flaky,Traceback Coverage,0,0.13,0,spaCy/spacy/tests/doc/test_doc_split.py
493780644,test_spans_sentence_update_after_merge,flaky,Traceback Coverage,0,0.15,0,spaCy/spacy/tests/doc/test_doc_split.py
493275480,test_pipe_base_class_add_label,flaky,Traceback Coverage,0,0.10,8,spaCy/spacy/tests/pipeline/test_pipe_methods.py
493275480,test_issue2179,flaky,Traceback Coverage,0,0.12,11,spaCy/spacy/tests/regression/test_issue2001-2500.py
493275245,test_pipe_base_class_add_label,flaky,Traceback Coverage,0,0.20,8,spaCy/spacy/tests/pipeline/test_pipe_methods.py
487019864,test_fr_tokenizer_infix_exceptions,flaky,Traceback Coverage,0,0.20,2,spaCy/spacy/tests/lang/fr/test_exceptions.py
486971208,test_fr_tokenizer_infix_exceptions,flaky,Traceback Coverage,0,0.25,2,spaCy/spacy/tests/lang/fr/test_exceptions.py
486332722,test_issue801,flaky,Traceback Coverage,0,0.25,4,spaCy/spacy/tests/regression/test_issue1-1000.py
473104451,test_spans_lca_matrix,flaky,Traceback Coverage,0,0.40,20,spaCy/spacy/tests/doc/test_span.py
472888949,test_spans_lca_matrix,flaky,Traceback Coverage,0,0.25,20,spaCy/spacy/tests/doc/test_span.py
470485991,test_update_doc,flaky,Traceback Coverage,0,0.17,4,spaCy/spacy/tests/parser/test_neural_parser.py
470484768,test_update_doc,flaky,Traceback Coverage,0,0.20,4,spaCy/spacy/tests/parser/test_neural_parser.py
461816736,test_cli_trained_model_can_be_saved,flaky,Traceback Coverage,0,0.33,76,spaCy/spacy/tests/regression/test_issue1622.py
461278242,test_require_gpu,flaky,Traceback Coverage,0,0.20,2,spaCy/spacy/tests/test_misc.py
461278242,test_doc_add_entities_set_ents_iob,flaky,Traceback Coverage,0,0.14,11,spaCy/spacy/tests/doc/test_add_entities.py
461278242,test_spans_merge_non_disjoint,flaky,Traceback Coverage,0,0.20,7,spaCy/spacy/tests/doc/test_span_merge.py
461278242,test_doc_add_entities_set_ents_iob,flaky,Traceback Coverage,0,0.14,11,spaCy/spacy/tests/parser/test_ner.py
461278242,test_build_model,flaky,Traceback Coverage,0,0.20,2,spaCy/spacy/tests/parser/test_neural_parser.py
461278242,test_beam_parse,flaky,Traceback Coverage,0,0.20,0,spaCy/spacy/tests/parser/test_nn_beam.py
461278242,test_issue242,flaky,Traceback Coverage,0,0.20,0,spaCy/spacy/tests/regression/test_issue1-1000.py
461278242,test_issue1727,flaky,Traceback Coverage,0,0.29,0,spaCy/spacy/tests/regression/test_issue1501-2000.py
461278242,test_issue1915,flaky,Traceback Coverage,0,0.20,0,spaCy/spacy/tests/regression/test_issue1501-2000.py
